GHZ;;;;;;;;;
FREQ.GHZ;;S11DB;S11A;S21DB;S21A;S12DB;S12A;S22DB;S22A
0.001745553;1745553;-1.661257;-0.2650616;-21.06274;-0.1828682;-21.10728;-0.2546056;-29.73728;-178.6465
0.001756391;1756391;-1.658745;-0.274296;-21.05816;-0.3206193;-21.11331;-0.2496928;-29.74422;-178.6212
0.001767296;1767296;-1.661983;-0.3004588;-21.06224;-0.2764171;-21.10897;-0.2859041;-29.74089;-178.6059
0.001778269;1778269;-1.661353;-0.279857;-21.06157;-0.2833577;-21.11248;-0.2353938;-29.74457;-178.6205
0.00178931;1789310;-1.660733;-0.2858851;-21.05845;-0.2708382;-21.10958;-0.2409825;-29.74148;-178.5639
0.001800419;1800419;-1.663827;-0.2930879;-21.06204;-0.2724751;-21.10964;-0.2495266;-29.7401;-178.5661
0.001811598;1811598;-1.663125;-0.2727528;-21.06278;-0.3280827;-21.10951;-0.2628489;-29.73925;-178.5779
0.001822846;1822846;-1.661031;-0.2983586;-21.06142;-0.3347389;-21.10518;-0.2842659;-29.73892;-178.5733
0.001834164;1834164;-1.660519;-0.3019351;-21.05964;-0.2759656;-21.10968;-0.2916036;-29.74317;-178.5533
0.001845552;1845552;-1.660436;-0.2820041;-21.05747;-0.2771992;-21.10704;-0.2689663;-29.73927;-178.5134
0.001857011;1857011;-1.662594;-0.2982206;-21.06244;-0.2901808;-21.10642;-0.2930653;-29.73717;-178.5275
0.001868541;1868541;-1.660358;-0.2995491;-21.05957;-0.2848081;-21.10991;-0.2522791;-29.74831;-178.5166
0.001880142;1880142;-1.659581;-0.2978826;-21.0578;-0.2066578;-21.1076;-0.2556411;-29.74313;-178.5239
0.001891816;1891816;-1.659883;-0.2962968;-21.06077;-0.2193418;-21.10923;-0.2920395;-29.7434;-178.4756
0.001903562;1903562;-1.659528;-0.3028177;-21.0581;-0.2479682;-21.11006;-0.2485623;-29.74047;-178.5303
0.001915381;1915381;-1.659649;-0.3122011;-21.06115;-0.2294883;-21.10641;-0.2984259;-29.73925;-178.5004
0.001927273;1927273;-1.659213;-0.317011;-21.05968;-0.3748512;-21.10626;-0.2862523;-29.73551;-178.4641
0.001939239;1939239;-1.663589;-0.3124455;-21.06311;-0.2723851;-21.10732;-0.3121506;-29.73766;-178.4299
0.00195128;1951280;-1.658692;-0.3102573;-21.05836;-0.3217359;-21.11308;-0.2576797;-29.7426;-178.4177
0.001963395;1963395;-1.659879;-0.3116989;-21.06205;-0.383669;-21.10718;-0.2671634;-29.74246;-178.3884
0.001975585;1975585;-1.658978;-0.3019812;-21.05953;-0.3483325;-21.11102;-0.2686714;-29.74102;-178.4059
0.001987852;1987852;-1.659876;-0.3260384;-21.06031;-0.3543779;-21.10909;-0.2653276;-29.74515;-178.4142
0.002000194;2000194;-1.658077;-0.3094413;-21.05932;-0.3513969;-21.10738;-0.2784417;-29.74331;-178.396
0.002012613;2012613;-1.659131;-0.3240433;-21.06058;-0.3739998;-21.10892;-0.300157;-29.74093;-178.3838
0.002025109;2025109;-1.660941;-0.315985;-21.06249;-0.3314171;-21.10614;-0.3011174;-29.73875;-178.3585
0.002037683;2037683;-1.660459;-0.3095792;-21.05933;-0.2916591;-21.11078;-0.3058411;-29.74048;-178.3342
0.002050334;2050334;-1.661086;-0.3231404;-21.05986;-0.3006397;-21.10249;-0.3188665;-29.73927;-178.3543
0.002063065;2063065;-1.66132;-0.326274;-21.05729;-0.3335434;-21.10406;-0.3075332;-29.74162;-178.3531
0.002075874;2075874;-1.662527;-0.3410023;-21.06296;-0.3931499;-21.11152;-0.2722077;-29.74226;-178.3237
0.002088763;2088763;-1.663021;-0.3424873;-21.06785;-0.309036;-21.11025;-0.3109733;-29.7363;-178.2984
0.002101732;2101732;-1.662387;-0.3521635;-21.06462;-0.323747;-21.10823;-0.3072214;-29.74509;-178.3001
0.002114781;2114781;-1.662123;-0.3370613;-21.06914;-0.3838665;-21.10824;-0.2815604;-29.74065;-178.3087
0.002127911;2127911;-1.661352;-0.3379631;-21.0601;-0.3009478;-21.10721;-0.2945561;-29.73598;-178.2826
0.002141123;2141123;-1.659836;-0.3420687;-21.06012;-0.3807582;-21.10824;-0.2918212;-29.74902;-178.2608
0.002154417;2154417;-1.662594;-0.3505459;-21.061;-0.298954;-21.10823;-0.3075156;-29.73797;-178.2948
0.002167794;2167794;-1.661179;-0.326816;-21.05988;-0.2726179;-21.11039;-0.3214683;-29.74277;-178.2243
0.002181253;2181253;-1.661161;-0.349658;-21.06019;-0.3791517;-21.10843;-0.322549;-29.74268;-178.2119
0.002194796;2194796;-1.663105;-0.3381745;-21.06258;-0.3168425;-21.10753;-0.296618;-29.73728;-178.2238
0.002208424;2208424;-1.661011;-0.3633208;-21.06562;-0.3190823;-21.10669;-0.3420311;-29.7404;-178.2137
0.002222136;2222136;-1.662121;-0.3462862;-21.06371;-0.2696059;-21.11165;-0.302581;-29.73691;-178.2193
0.002235932;2235932;-1.660104;-0.3488787;-21.06118;-0.3342109;-21.10462;-0.3381072;-29.74301;-178.2329
0.002249815;2249815;-1.66233;-0.3537053;-21.06334;-0.2643227;-21.11149;-0.3106025;-29.73882;-178.2014
0.002263784;2263784;-1.660366;-0.3541307;-21.05877;-0.3083351;-21.10618;-0.3241853;-29.74284;-178.1268
0.002277839;2277839;-1.65953;-0.3580488;-21.05824;-0.3259965;-21.10914;-0.3615887;-29.74098;-178.1856
0.002291982;2291982;-1.66056;-0.3773273;-21.05989;-0.3405305;-21.10787;-0.3131479;-29.74214;-178.1836
0.002306213;2306213;-1.661537;-0.3606408;-21.06129;-0.3856097;-21.10798;-0.3070389;-29.74089;-178.1346
0.002320532;2320532;-1.662623;-0.3804701;-21.06049;-0.4106973;-21.10969;-0.3073915;-29.74647;-178.1688
0.00233494;2334940;-1.660998;-0.3609908;-21.06353;-0.3343806;-21.10722;-0.3165586;-29.74687;-178.1227
0.002349437;2349437;-1.657975;-0.3657387;-21.05669;-0.3263761;-21.10693;-0.3392006;-29.74214;-178.1288
0.002364025;2364025;-1.661803;-0.3758553;-21.06753;-0.2945157;-21.10601;-0.3183998;-29.73526;-178.1061
0.002378702;2378702;-1.662889;-0.3871179;-21.06077;-0.3155482;-21.10814;-0.3502786;-29.74428;-178.079
0.002393472;2393472;-1.660487;-0.3619965;-21.06118;-0.3475565;-21.10912;-0.3504384;-29.74171;-178.1061
0.002408332;2408332;-1.660015;-0.3747273;-21.06443;-0.2971609;-21.10578;-0.3709733;-29.74342;-178.0993
0.002423285;2423285;-1.662005;-0.3920067;-21.06672;-0.3393728;-21.10694;-0.3674148;-29.73942;-178.0834
0.002438331;2438331;-1.658175;-0.3756787;-21.05795;-0.3339301;-21.1119;-0.3616599;-29.73757;-178.0598
0.002453471;2453471;-1.659549;-0.3751628;-21.06253;-0.3018085;-21.11116;-0.3382955;-29.73894;-178.0726
0.002468704;2468704;-1.662755;-0.3944599;-21.06216;-0.4420463;-21.11156;-0.3456599;-29.74023;-178.049
0.002484032;2484032;-1.660334;-0.4002778;-21.05825;-0.3991566;-21.10949;-0.390526;-29.73991;-178.0289
0.002499455;2499455;-1.660629;-0.3965721;-21.06708;-0.3952844;-21.10686;-0.3384967;-29.7398;-178.0538
0.002514974;2514974;-1.661807;-0.3848419;-21.0638;-0.4295979;-21.10607;-0.3555494;-29.73869;-178.0369
0.002530589;2530589;-1.663628;-0.4051552;-21.06686;-0.3831462;-21.10902;-0.3296263;-29.73827;-178.0211
0.002546301;2546301;-1.661488;-0.403283;-21.06494;-0.3891614;-21.11057;-0.3820494;-29.7422;-177.9897
0.00256211;2562110;-1.657954;-0.405218;-21.05991;-0.2882191;-21.10517;-0.3374628;-29.74031;-177.9974
0.002578018;2578018;-1.661107;-0.4090099;-21.06088;-0.3113251;-21.10524;-0.3499227;-29.74181;-177.9855
0.002594025;2594025;-1.662885;-0.4101403;-21.06407;-0.4196196;-21.10615;-0.3827291;-29.74237;-177.9758
0.002610131;2610131;-1.662512;-0.3961112;-21.06209;-0.3655355;-21.10982;-0.3894335;-29.73767;-177.9211
0.002626337;2626337;-1.661857;-0.4066276;-21.05778;-0.3763891;-21.1043;-0.3975957;-29.74549;-177.9406
0.002642643;2642643;-1.66076;-0.3984837;-21.06159;-0.4199093;-21.10496;-0.3862633;-29.74908;-177.9267
0.002659051;2659051;-1.661503;-0.4191695;-21.06076;-0.4581953;-21.10706;-0.3792053;-29.73088;-177.9016
0.002675561;2675561;-1.659151;-0.4103336;-21.05943;-0.3718072;-21.11226;-0.3677495;-29.74207;-177.9331
0.002692173;2692173;-1.661756;-0.4215342;-21.057;-0.3996041;-21.10424;-0.4042586;-29.73715;-177.9001
0.002708889;2708889;-1.661391;-0.4235062;-21.06778;-0.3681239;-21.10609;-0.3830388;-29.73748;-177.8568
0.002725708;2725708;-1.662551;-0.4233853;-21.05928;-0.398792;-21.10314;-0.4056667;-29.74012;-177.8689
0.002742631;2742631;-1.661603;-0.4231306;-21.0623;-0.3485759;-21.10691;-0.3839338;-29.73385;-177.8372
0.00275966;2759660;-1.659771;-0.4343627;-21.06663;-0.3899128;-21.10569;-0.3956744;-29.74084;-177.8125
0.002776794;2776794;-1.662551;-0.4346837;-21.0577;-0.4371793;-21.1128;-0.3912726;-29.73938;-177.8091
0.002794035;2794035;-1.66098;-0.4276935;-21.06209;-0.3554696;-21.10722;-0.388517;-29.74512;-177.8106
0.002811383;2811383;-1.658566;-0.438834;-21.05908;-0.3305674;-21.10944;-0.3910273;-29.74006;-177.8078
0.002828838;2828838;-1.661355;-0.4303793;-21.06024;-0.3859862;-21.10806;-0.406691;-29.73796;-177.7841
0.002846402;2846402;-1.661822;-0.4336113;-21.05795;-0.3603728;-21.10987;-0.3820904;-29.73678;-177.8058
0.002864075;2864075;-1.661623;-0.4610488;-21.05777;-0.421749;-21.11058;-0.4349422;-29.74339;-177.7485
0.002881858;2881858;-1.661388;-0.4381971;-21.06063;-0.436846;-21.1091;-0.3942289;-29.73873;-177.7322
0.002899751;2899751;-1.659856;-0.4523346;-21.06189;-0.3863774;-21.10588;-0.4419358;-29.73738;-177.6815
0.002917755;2917755;-1.661397;-0.4622416;-21.0591;-0.3971033;-21.10934;-0.3933088;-29.73387;-177.7113
0.002935871;2935871;-1.661266;-0.4527546;-21.05705;-0.4117915;-21.10975;-0.3973062;-29.73792;-177.6667
0.0029541;2954100;-1.662535;-0.4594486;-21.05877;-0.3730661;-21.10651;-0.4197941;-29.7413;-177.7003
0.002972441;2972441;-1.660029;-0.4760379;-21.06051;-0.3589565;-21.10893;-0.4440146;-29.73469;-177.6421
0.002990897;2990897;-1.660926;-0.4669573;-21.06538;-0.4508212;-21.11198;-0.416279;-29.73947;-177.6897
0.003009467;3009467;-1.661134;-0.4633005;-21.06534;-0.3897054;-21.10862;-0.4639814;-29.74822;-177.5884
0.003028152;3028152;-1.661677;-0.4730269;-21.06065;-0.4460426;-21.10793;-0.4256337;-29.73069;-177.6132
0.003046954;3046954;-1.659379;-0.4854088;-21.06689;-0.3880582;-21.10446;-0.4524634;-29.74201;-177.617
0.003065872;3065872;-1.65977;-0.4966652;-21.069;-0.363699;-21.11359;-0.4340909;-29.7435;-177.6198
0.003084908;3084908;-1.661188;-0.4848383;-21.05597;-0.4233165;-21.10748;-0.4184239;-29.73323;-177.5636
0.003104061;3104061;-1.661219;-0.5063861;-21.06096;-0.5232956;-21.10732;-0.4264598;-29.74281;-177.5309
0.003123334;3123334;-1.659376;-0.4843563;-21.06046;-0.4315739;-21.10749;-0.4359052;-29.73798;-177.4921
0.003142727;3142727;-1.663098;-0.4861982;-21.06085;-0.3769298;-21.10472;-0.451113;-29.73764;-177.5427
0.003162239;3162239;-1.660038;-0.4985449;-21.06943;-0.3892205;-21.10657;-0.4799635;-29.73682;-177.4458
0.003181873;3181873;-1.659581;-0.5010097;-21.05728;-0.4281193;-21.11023;-0.4855659;-29.73606;-177.4305
0.003201629;3201629;-1.658085;-0.4924419;-21.05975;-0.4518906;-21.11134;-0.4443717;-29.73856;-177.5073
